Partlist

Exported from aleph.brd at 8/13/13 12:54 PM

EAGLE Version 6.4.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package          Library               Position (inch)       Orientation

H12      MOUNT440           120-PAD-NS       monome-inc            (6.725 0.125)         R0
H13      MOUNT440           120-PAD-NS       monome-inc            (7.925 0.125)         R0
H14      MOUNT440           120-PAD-NS       monome-inc            (11.65 0.125)         R0
H15      MOUNT440           120-PAD-NS       monome-inc            (14.525 0.125)        R0
IC1      AD8567             TSSOP14          analog-devices        (14.05 3.775)         R0
IC2      AD8606             SO8              analog-devices        (2.5 2.975)           R0
IC3      AD8606             SO8              analog-devices        (2.95 2.975)          R0
IC4      AD8606             SO8              analog-devices        (1.975 2.925)         R0
IC5      AD8606             SO8              analog-devices        (0.45 2.7625)         R270
IC6      AD8606             SO8              analog-devices        (9.6 2.3)             R270
IC7      AD8606             SO8              analog-devices        (10.4 2.3)            R270
IC8      AD8606             SO8              analog-devices        (2.1 2.075)           R0
IC9      AD8606             SO8              analog-devices        (1.525 1.975)         R180
IC10     AD8606             SO8              analog-devices        (0.625 1.825)         R270
IC11     AD8606             SO8              analog-devices        (8.225 1.675)         R270
IC12     AD8606             SO8              analog-devices        (1.525 1.275)         R180
IC13     AD8606             SO8              analog-devices        (8.325 1.05)          R90
J1       STEREOSW2GND       NEUTRIK-NRJ6HM-1 Audio Jacks 0.25 inch (0.6 4.35)            R180
J2       NSJ12HF            NSJ12HF          monome-inc            (1.3 4.35)            R90
J3       NSJ12HF            NSJ12HF          monome-inc            (2 4.35)              R90
J4       NSJ12HF            NSJ12HF          monome-inc            (2.7 4.35)            R90
J5       NSJ12HF            NSJ12HF          monome-inc            (3.4 4.35)            R90
J6       SJ1-3533NG         SJ1-3533NG       monome-inc            (4.325 4.25)          R270
J7                          USB_B            monome-inc            (5.275 3.95)          R180
J8       PJ-102AH/BH        PJ-102XH         con-cuistack          (5.875 3.8)           R180
J9       PHA2U              PHA2U            monome-inc            (6.275 3.725)         R180
J10      PHA2U              PHA2U            monome-inc            (8.4 3.725)           R180
J11      USBA-VERT          USBA-VERT        monome-inc            (4.775 3.625)         R180
J12      STX-3680           STX-3680         monome-inc            (11.825 3.625)        R0
J13      STX-3680           STX-3680         monome-inc            (12.325 3.625)        R0
J14      STX-3680           STX-3680         monome-inc            (12.825 3.625)        R0
J15      STX-3680           STX-3680         monome-inc            (13.325 3.625)        R0
J16      STX-3680           STX-3680         monome-inc            (11.575 3.025)        R180
J17      STX-3680           STX-3680         monome-inc            (12.075 3.025)        R180
J18      STX-3680           STX-3680         monome-inc            (12.575 3.025)        R180
J19      STX-3680           STX-3680         monome-inc            (13.075 3.025)        R180
J20      F-2X03-DIL-100     DIL-100-2X03     con-headers-jp        (2.775 0.975)         R0
J21      STEREOSW2GND       NEUTRIK-NRJ6HM-1 Audio Jacks 0.25 inch (0.6 0)               R0
J22      STEREOSW2GND       NEUTRIK-NRJ6HM-1 Audio Jacks 0.25 inch (1.3 0)               R0
JP1      OLED               1X20             pinhead               (9.625 0.6)           R0
JP2      AVR-JTAG           AVR-JTAG-10      atmel-avr32           (4.8 0.45)            R0
JP3      JPQ-07-100         JPQ-07           jumpers               (3.2 0.2)             R0
K1       PVA1               PVA1             monome-inc            (8.425 0.225)         R180
K2       PVA1               PVA1             monome-inc            (9.225 0.225)         R180
K3       PVA1               PVA1             monome-inc            (10.025 0.225)        R180
K4       PVA1               PVA1             monome-inc            (10.825 0.225)        R180
KM       PVA1               PVA1             monome-inc            (14.025 3.025)        R0
L1       XAL7030-103        XAL7030-103      monome-inc            (6.675 3.6375)        R0
L2       600                L0603            rc-master-smd         (3.775 3.3)           R0
L3       600                L0603            rc-master-smd         (3.775 3.175)         R0
L4       MSS1278            MSS1278          inductor-coilcraft    (6.325 3.125)         R180
L5       600                L0603            rc-master-smd         (14.375 3.125)        R270
L6       600                L0603            rc-master-smd         (2.675 2.975)         R90
L7       600                L0603            rc-master-smd         (3.125 2.975)         R90
L8       SRR6038-100Y       SRR6038          inductor-bourns       (3.575 2.575)         R270
L9       600                L0603            rc-master-smd         (1.35 1.975)          R270
L10      600                L0603            rc-master-smd         (1.35 1.275)          R270
LED1                        CHIPLED_0805     led                   (3.525 2.875)         R180
LED2                        CHIPLED_0805     led                   (3.6 2.875)           R180
LED3                        CHIPLED_0805     led                   (9.225 2.625)         R180
LED4                        CHIPLED_0805     led                   (9.9875 2.625)        R180
LED5                        CHIPLED_0805     led                   (10.0625 2.625)       R180
LED6                        CHIPLED_0805     led                   (10.7875 2.625)       R180
LED7                        CHIPLED_0805     led                   (10.8625 2.625)       R180
LED8                        CHIPLED_1206     led                   (14.025 2.625)        R270
LED9                        CHIPLED_0805     led                   (8.95 1.525)          R90
LED10                       CHIPLED_0805     led                   (9.6 1.525)           R90
LED11                       CHIPLED_0805     led                   (10.25 1.525)         R90
LED12                       CHIPLED_1206     led                   (5.25 0.15)           R0
P1       M-1X05-SIP-100-32  SIP-100-05-32    con-headers-jp        (3.85 3.7)            R90
P2       EVJ-POT            EVJ-POT          monome-inc            (8.425 3.025)         R270
P3       EVJ-POT            EVJ-POT          monome-inc            (9.225 3.025)         R270
P4       EVJ-POT            EVJ-POT          monome-inc            (10.025 3.025)        R270
P5       EVJ-POT            EVJ-POT          monome-inc            (10.825 3.025)        R270
P6       F-2X06-DIL-100     DIL-100-2X06     con-headers-jp        (0.625 2.325)         R0
P7       M-2X06-DIL-100     DIL-100-2X06     con-headers-jp        (8.425 2.325)         R0
P8       M-2X14-DIL-100     DIL-100-2X14     con-headers-jp        (6.7 1.225)           R270
P9       M-2X14-DIL-100     DIL-100-2X14     con-headers-jp        (14.5 1.225)          R270
P10      M-2X03-DIL-100     DIL-100-2X03     con-headers-jp        (10.575 0.975)        R0
P12      M-1X03-SIP-100-40  SIP-100-03-40    con-headers-jp        (2.55 0.25)           R180
R1       10k                R0603            rc-master-smd         (13.825 3.925)        R180
R2       10k                R0603            rc-master-smd         (14.275 3.8875)       R0
R3       10k                R0603            rc-master-smd         (13.825 3.85)         R0
R4       10k                R0603            rc-master-smd         (14.275 3.8125)       R180
R5       10k                R0603            rc-master-smd         (8.125 3.75)          R0
R6       10k                R0603            rc-master-smd         (14.275 3.7375)       R180
R7       47k                R0603            rc-master-smd         (4.45 3.7)            R270
R8       10k                R0603            rc-master-smd         (13.825 3.7)          R0
R9       47k                R0603            rc-master-smd         (8.125 3.675)         R0
R10      10k                R0603            rc-master-smd         (14.275 3.6625)       R0
R11      10k                R0603            rc-master-smd         (13.825 3.625)        R180
R12      47k                R0603            rc-master-smd         (8.125 3.6)           R0
R13      47k                R0603            rc-master-smd         (4.45 3.55)           R90
R14      10k                R0603            rc-master-smd         (8.125 3.525)         R0
R15      120                R0603            rc-master-smd         (0.925 3.3)           R270
R16      120                R0603            rc-master-smd         (1 3.3)               R270
R17      120                R0603            rc-master-smd         (1.175 3.3)           R270
R18      120                R0603            rc-master-smd         (1.425 3.3)           R270
R19      120                R0603            rc-master-smd         (1.5 3.3)             R270
R20      120                R0603            rc-master-smd         (1.65 3.3)            R270
R21      11k                R0603            rc-master-smd         (1.925 3.275)         R0
R22      5k49               R0603            rc-master-smd         (2.0625 3.275)        R180
R23      5k76               R0603            rc-master-smd         (2.45 3.25)           R180
R24      5k76               R0603            rc-master-smd         (2.6 3.25)            R0
R25      5k76               R0603            rc-master-smd         (2.9 3.25)            R180
R26      5k76               R0603            rc-master-smd         (3.05 3.25)           R0
R27      750k               R0603            rc-master-smd         (2.7125 3.2125)       R270
R28      750k               R0603            rc-master-smd         (3.1625 3.2125)       R270
R29      3k32               R0603            rc-master-smd         (1.925 3.2)           R180
R30      1k65               R0603            rc-master-smd         (2.0625 3.2)          R180
R31      5k49               R0603            rc-master-smd         (1.825 3.1625)        R90
R32      20k                R0603            rc-master-smd         (0.175 3.125)         R270
R33      20k                R0603            rc-master-smd         (0.25 3.125)          R90
R34      20k                R0603            rc-master-smd         (0.65 3.075)          R270
R35      20k                R0603            rc-master-smd         (0.725 3.075)         R90
R36      2k74               R0603            rc-master-smd         (2.175 3.05)          R270
R37      150                R0603            rc-master-smd         (3.525 3.025)         R90
R38      150                R0603            rc-master-smd         (3.6 3.025)           R90
R39      604                R0603            rc-master-smd         (1.825 3.0125)        R270
R40      0                  R0603            rc-master-smd         (5.2 2.9625)          R90
R41      0                  R0603            rc-master-smd         (5.3 2.9625)          R90
R42      0                  R0603            rc-master-smd         (5.4 2.9625)          R90
R43      0                  R0603            rc-master-smd         (4.2 2.875)           R180
R44      604                R0603            rc-master-smd         (1.825 2.8375)        R90
R45      3k32               R0603            rc-master-smd         (4.2625 2.8)          R0
R46      0                  R0603            rc-master-smd         (4.2 2.725)           R180
R47      5k76               R0603            rc-master-smd         (2.45 2.7)            R0
R48      5k76               R0603            rc-master-smd         (2.6 2.7)             R0
R49      5k76               R0603            rc-master-smd         (2.9 2.7)             R0
R50      5k76               R0603            rc-master-smd         (3.05 2.7)            R0
R51      5k49               R0603            rc-master-smd         (1.825 2.6875)        R270
R52      3k32               R0603            rc-master-smd         (1.925 2.65)          R180
R53      1k65               R0603            rc-master-smd         (2.0625 2.65)         R180
R54      2k74               R0603            rc-master-smd         (2.175 2.65)          R270
R55      0                  R0603            rc-master-smd         (4.2 2.65)            R180
R56      270                R0603            rc-master-smd         (9.15 2.625)          R90
R57      270                R0603            rc-master-smd         (9.925 2.625)         R90
R58      270                R0603            rc-master-smd         (10.125 2.625)        R90
R59      270                R0603            rc-master-smd         (10.725 2.625)        R90
